16
0.100000
0.050000
0.090000
0.050000
0.040000
0.090000
0.050000
0.040000
0.100000
0.075000
0.050000
0.050000
0.100000
0.075000
0.050000
0.050000
24
0 1
1 2
1 5
1 8
1 12
2 5
2 8
2 12
5 8
5 12
8 9
8 13
12 9
12 13
8 12
9 13
2 3
3 4
5 6
6 7
9 10
10 11
13 14
14 15
-0.718564 -0.011366 1.417623  -0.778465 -0.013764 1.217451  -0.814681 0.087153 1.178285  -0.810617 0.197988 0.986969  -0.791760 0.194530 0.638681  -0.831777 -0.205793 1.153473  -0.789709 -0.266692 0.963546  -0.771780 -0.308598 0.660502  -0.773768 0.020003 0.759222  -0.786813 0.035878 0.550420  -0.828786 0.044558 0.245480  -0.832394 0.039185 0.042616  -0.829801 -0.169345 0.746010  -0.814376 -0.160210 0.540070  -0.820277 -0.191305 0.235651  -0.814131 -0.203358 0.032958  
-0.725191 -0.012416 1.402094  -0.784125 -0.021229 1.201482  -0.816449 0.081073 1.164574  -0.815157 0.204697 0.981067  -0.792148 0.197055 0.631804  -0.832365 -0.211895 1.131972  -0.797053 -0.274809 0.940110  -0.774233 -0.308875 0.635679  -0.780282 0.023495 0.744137  -0.783263 0.041701 0.536542  -0.834545 0.044174 0.233185  -0.836854 0.031631 0.030812  -0.823497 -0.168315 0.725907  -0.804739 -0.154806 0.520184  -0.837400 -0.192410 0.218140  -0.828594 -0.200025 0.015985  
-0.724145 -0.018001 1.397601  -0.773849 -0.018663 1.193828  -0.816945 0.081816 1.158791  -0.827469 0.199493 0.972259  -0.779318 0.189282 0.629349  -0.825743 -0.211375 1.127279  -0.804416 -0.272735 0.933215  -0.772559 -0.306222 0.629676  -0.775542 0.021966 0.738417  -0.790674 0.043936 0.533167  -0.837418 0.046225 0.229402  -0.840510 0.037567 0.026634  -0.826333 -0.168217 0.719046  -0.811757 -0.152249 0.511256  -0.841216 -0.186975 0.207611  -0.831454 -0.192271 0.005184  
-0.726061 -0.019755 1.399885  -0.779274 -0.033087 1.197864  -0.803884 0.071913 1.162385  -0.828162 0.200415 0.983983  -0.781004 0.192467 0.634034  -0.837876 -0.219166 1.124691  -0.807996 -0.284159 0.932420  -0.767186 -0.316927 0.629732  -0.772376 0.019412 0.740955  -0.787261 0.042751 0.534942  -0.831178 0.044896 0.230112  -0.821964 0.036787 0.027596  -0.821867 -0.170581 0.719797  -0.808578 -0.153499 0.514169  -0.837875 -0.194954 0.212454  -0.834670 -0.195698 0.010010  
-0.722346 -0.015250 1.402185  -0.776335 -0.029296 1.199407  -0.806517 0.075078 1.165192  -0.826756 0.204029 0.986700  -0.779335 0.196891 0.637184  -0.840674 -0.216339 1.128194  -0.814755 -0.277058 0.931844  -0.769950 -0.311999 0.629964  -0.782104 0.024107 0.742230  -0.789750 0.044452 0.534670  -0.834664 0.041414 0.230321  -0.837540 0.034206 0.027581  -0.821742 -0.168450 0.722132  -0.808058 -0.152041 0.516152  -0.839445 -0.194176 0.214544  -0.835753 -0.192157 0.012091  
-0.719116 -0.018640 1.400333  -0.772110 -0.027301 1.198117  -0.803037 0.076682 1.163179  -0.830246 0.204225 0.984649  -0.779779 0.190713 0.635714  -0.832937 -0.214751 1.127059  -0.819716 -0.279166 0.932566  -0.766457 -0.312631 0.631895  -0.779717 0.024378 0.740779  -0.787798 0.043446 0.532888  -0.834630 0.038298 0.227302  -0.841123 0.028769 0.024875  -0.820512 -0.168550 0.722144  -0.808062 -0.152850 0.516756  -0.835765 -0.192390 0.214986  -0.825938 -0.192331 0.012815  
-0.715778 -0.021029 1.399517  -0.773621 -0.033230 1.198597  -0.814136 0.070173 1.164976  -0.822538 0.201157 0.986724  -0.775428 0.192466 0.636551  -0.832343 -0.222294 1.126025  -0.822695 -0.281840 0.930685  -0.766117 -0.311839 0.630296  -0.784375 0.022399 0.743431  -0.788641 0.045002 0.537534  -0.834285 0.040575 0.233979  -0.836789 0.034867 0.031250  -0.819138 -0.171087 0.720711  -0.807977 -0.151077 0.514444  -0.835766 -0.193906 0.212464  -0.840451 -0.190818 0.010047  
-0.719043 -0.023416 1.399648  -0.772133 -0.035260 1.198331  -0.802944 0.069371 1.163207  -0.825945 0.201418 0.987375  -0.778333 0.189401 0.637654  -0.828792 -0.222214 1.124734  -0.823382 -0.282400 0.929510  -0.764419 -0.313220 0.629622  -0.774915 0.020041 0.742098  -0.787945 0.042552 0.535643  -0.832990 0.044889 0.231702  -0.844280 0.037173 0.028128  -0.817555 -0.171531 0.720608  -0.803618 -0.154266 0.515864  -0.839073 -0.196700 0.215449  -0.836697 -0.197238 0.013064  
-0.718273 -0.020571 1.399618  -0.770296 -0.036808 1.198734  -0.795415 0.067516 1.163223  -0.824406 0.200808 0.989113  -0.777521 0.187849 0.639316  -0.824663 -0.224271 1.125336  -0.826509 -0.280857 0.929243  -0.758666 -0.314054 0.631748  -0.771818 0.018839 0.742071  -0.781498 0.040423 0.534795  -0.836429 0.038751 0.232701  -0.840322 0.030427 0.030290  -0.818609 -0.172301 0.721164  -0.801297 -0.156049 0.516768  -0.831400 -0.197422 0.215807  -0.830839 -0.200421 0.013472  
-0.717333 -0.027739 1.396378  -0.770051 -0.032769 1.193371  -0.807645 0.069817 1.160355  -0.821768 0.205843 0.986582  -0.781792 0.183140 0.636849  -0.819572 -0.222229 1.123019  -0.827808 -0.282914 0.928581  -0.756823 -0.316178 0.632757  -0.782718 0.020334 0.737200  -0.784700 0.041073 0.529898  -0.836038 0.037774 0.225684  -0.842898 0.030982 0.023299  -0.815141 -0.173325 0.716039  -0.800023 -0.155586 0.509647  -0.834386 -0.193815 0.207404  -0.828895 -0.198620 0.004974  
-0.716725 -0.029255 1.398498  -0.769210 -0.038477 1.195880  -0.795543 0.066306 1.162136  -0.815823 0.196019 0.984102  -0.765627 0.183769 0.634947  -0.830110 -0.224912 1.123031  -0.828973 -0.283133 0.924831  -0.754033 -0.316761 0.628836  -0.777788 0.017972 0.739389  -0.786241 0.039853 0.532148  -0.835558 0.044107 0.227766  -0.841863 0.035023 0.025153  -0.817336 -0.175012 0.718228  -0.798679 -0.157391 0.513391  -0.832764 -0.198456 0.212440  -0.831770 -0.201511 0.010051  
