16
0.100000
0.050000
0.090000
0.050000
0.040000
0.090000
0.050000
0.040000
0.100000
0.075000
0.050000
0.050000
0.100000
0.075000
0.050000
0.050000
24
0 1
1 2
1 5
1 8
1 12
2 5
2 8
2 12
5 8
5 12
8 9
8 13
12 9
12 13
8 12
9 13
2 3
3 4
5 6
6 7
9 10
10 11
13 14
14 15
-0.489574 -0.028634 1.415382  -0.543461 -0.060725 1.218707  -0.568289 0.092632 1.188954  -0.566849 0.168158 0.981099  -0.521756 0.226497 0.638851  -0.576788 -0.200819 1.150385  -0.552959 -0.286521 0.944585  -0.516724 -0.360365 0.648623  -0.536354 -0.005008 0.763074  -0.542318 0.018673 0.558879  -0.603627 0.060023 0.262321  -0.637188 0.050087 0.062957  -0.573564 -0.147809 0.748393  -0.570342 -0.130228 0.544748  -0.625442 -0.185677 0.250406  -0.645812 -0.176975 0.049379  
-0.492202 -0.038436 1.414874  -0.537427 -0.060004 1.213306  -0.566146 0.094706 1.183836  -0.579571 0.190011 0.984619  -0.514381 0.235778 0.641643  -0.581467 -0.198299 1.145655  -0.578794 -0.283817 0.935948  -0.513104 -0.367963 0.647796  -0.531809 -0.000833 0.758105  -0.546950 0.022967 0.553229  -0.605730 0.057310 0.254915  -0.641193 0.048263 0.055759  -0.585761 -0.140922 0.744873  -0.573809 -0.126236 0.541830  -0.621801 -0.195635 0.249936  -0.649692 -0.171412 0.051173  
-0.499524 -0.030334 1.410936  -0.541208 -0.058442 1.209834  -0.570329 0.095227 1.179292  -0.582260 0.194945 0.982159  -0.517537 0.226486 0.636932  -0.576730 -0.198114 1.141337  -0.586430 -0.289597 0.936851  -0.521514 -0.371422 0.647974  -0.536774 -0.002491 0.753769  -0.547844 0.022504 0.550553  -0.611338 0.054651 0.253336  -0.637480 0.053552 0.052625  -0.574177 -0.145315 0.738956  -0.576955 -0.126115 0.535027  -0.625064 -0.192047 0.241311  -0.649248 -0.173289 0.041347  
-0.500887 -0.033864 1.411864  -0.540543 -0.055998 1.209603  -0.573826 0.098152 1.178063  -0.589560 0.197194 0.978434  -0.514834 0.228674 0.635855  -0.580450 -0.196149 1.141777  -0.586394 -0.282933 0.933428  -0.521890 -0.368032 0.645402  -0.535144 -0.001066 0.753817  -0.546601 0.023100 0.550174  -0.608410 0.057918 0.252998  -0.639798 0.042207 0.053669  -0.583339 -0.141081 0.739961  -0.575234 -0.125614 0.536000  -0.627473 -0.190244 0.243066  -0.652973 -0.171167 0.043352  
-0.511128 -0.039502 1.412017  -0.542518 -0.058807 1.207903  -0.572154 0.095623 1.179401  -0.594791 0.200786 0.984640  -0.520974 0.227784 0.636309  -0.580858 -0.197620 1.139195  -0.596449 -0.284235 0.932724  -0.527706 -0.371249 0.646349  -0.543706 0.003057 0.752430  -0.557014 0.025994 0.548241  -0.607199 0.058861 0.248558  -0.639296 0.050957 0.048821  -0.574621 -0.141369 0.738056  -0.583814 -0.122816 0.534737  -0.628742 -0.188025 0.240970  -0.652361 -0.174905 0.040550  
-0.515263 -0.033943 1.413379  -0.548213 -0.057284 1.209851  -0.575775 0.096641 1.178647  -0.594289 0.200530 0.982290  -0.524020 0.228493 0.633302  -0.582172 -0.196835 1.140622  -0.596061 -0.282785 0.933029  -0.523645 -0.364486 0.645904  -0.539927 0.000953 0.753093  -0.550432 0.024229 0.548485  -0.609976 0.059448 0.250697  -0.637502 0.052147 0.050258  -0.580713 -0.141078 0.739036  -0.579230 -0.124473 0.535494  -0.629356 -0.196309 0.244110  -0.655027 -0.168654 0.045439  
-0.514023 -0.033825 1.414110  -0.550031 -0.058894 1.210820  -0.580845 0.096384 1.181431  -0.596320 0.198184 0.982023  -0.529750 0.221175 0.631948  -0.596193 -0.196945 1.141614  -0.591222 -0.281860 0.932371  -0.530558 -0.363142 0.642414  -0.549058 0.001858 0.754881  -0.558204 0.026488 0.550517  -0.608298 0.061339 0.250796  -0.639477 0.047797 0.051218  -0.586314 -0.141892 0.740031  -0.584005 -0.122708 0.536537  -0.625435 -0.194680 0.243862  -0.646910 -0.170626 0.044252  
-0.518265 -0.031895 1.413474  -0.555000 -0.060589 1.211332  -0.577243 0.094807 1.182119  -0.596560 0.204602 0.988697  -0.534979 0.227201 0.637684  -0.598129 -0.197964 1.141866  -0.600681 -0.284048 0.933730  -0.534524 -0.362713 0.644257  -0.548005 -0.000346 0.755758  -0.555642 0.025381 0.553002  -0.610875 0.058736 0.254547  -0.638558 0.053485 0.054130  -0.591826 -0.144192 0.740040  -0.586333 -0.122713 0.535934  -0.627495 -0.189425 0.241374  -0.648533 -0.173860 0.040772  
-0.519257 -0.032990 1.411469  -0.557684 -0.061741 1.210194  -0.579440 0.093406 1.178811  -0.600302 0.195879 0.981716  -0.531625 0.212291 0.633627  -0.601610 -0.200014 1.141572  -0.603604 -0.287075 0.933872  -0.535180 -0.367919 0.645527  -0.545358 -0.006045 0.754871  -0.559233 0.021682 0.551760  -0.605975 0.060423 0.252531  -0.635102 0.049666 0.052535  -0.599193 -0.145011 0.739457  -0.586679 -0.127176 0.535555  -0.634221 -0.190944 0.241689  -0.649949 -0.175551 0.040636  
-0.521002 -0.025983 1.411497  -0.557411 -0.054396 1.209860  -0.584853 0.099448 1.176503  -0.607679 0.202193 0.981042  -0.527377 0.218970 0.633504  -0.594962 -0.194707 1.142631  -0.601519 -0.281507 0.935952  -0.543263 -0.366148 0.646419  -0.547423 -0.003964 0.753527  -0.568190 0.021856 0.550328  -0.609843 0.060776 0.250879  -0.637389 0.048163 0.050762  -0.599768 -0.142781 0.740084  -0.593595 -0.127479 0.535810  -0.627999 -0.194203 0.241104  -0.651342 -0.173488 0.041267  
-0.523695 -0.029735 1.410233  -0.562460 -0.052418 1.208495  -0.597167 0.100932 1.175622  -0.611407 0.203812 0.980071  -0.537085 0.218111 0.631357  -0.599666 -0.193173 1.142152  -0.603103 -0.279630 0.936046  -0.545507 -0.364275 0.646430  -0.552841 -0.004511 0.753472  -0.562440 0.021324 0.549969  -0.610707 0.060017 0.250811  -0.642380 0.042880 0.051649  -0.608331 -0.141242 0.738846  -0.589188 -0.127969 0.535073  -0.633998 -0.188672 0.239639  -0.652401 -0.173759 0.038727  
